rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate
81.51,284,-21.1115,163840,80,576,0.21669921875,-0.010471575747942552,0.0990329384803772,790,-0.8491423785686493,0.2,0.023545682,4.690535068511963,21.829359233379364,0.0003
78.56,287,-17.211000000000002,165888,81,576,0.19755859375,-0.015535885113058612,0.2866109013557434,800,-0.8499294355511665,0.2,0.02460847,4.224270343780518,23.121572983264922,0.0003
75.48,291,-13.129999999999997,167936,82,576,0.198291015625,-0.006061215582303703,0.06111884117126465,810,-0.855326420813799,0.2,0.022575032,3.0445899963378906,20.434107029438017,0.0003
77.66,295,-15.165,169984,83,576,0.247314453125,-0.011910368647659198,-0.027654409408569336,820,-0.8453746557235717,0.2,0.03242491,5.596102714538574,21.475172138214113,0.0003
73.52,298,-11.675999999999998,172032,84,575,0.22431640625,-0.007786427659448236,0.28424280881881714,830,-0.849927619099617,0.2,0.032442182,5.594264507293701,23.395816206932068,0.0003
71.03,302,-9.424499999999998,174080,85,575,0.205322265625,-0.01638288001413457,0.38992828130722046,840,-0.7921486876904964,0.2,0.027930569,4.378979206085205,22.979487895965576,0.0003
70.24,305,-8.737000000000002,176128,86,575,0.240625,-0.007110651512630284,0.233942449092865,850,-0.8839612089097499,0.2,0.040975418,3.725877285003662,23.362507128715514,0.0003
66.63,309,-4.929500000000001,178176,87,576,0.199072265625,-0.016257275751559063,-0.03424680233001709,860,-0.8025887437164784,0.2,0.02386064,4.3145551681518555,20.28052372932434,0.0003
71.66,312,-8.714999999999998,180224,88,576,0.21259765625,-0.022472924666362814,0.043774306774139404,870,-0.8444777071475983,0.2,0.027290257,6.401487350463867,23.000713336467744,0.0003
75.42,316,-12.788,182272,89,576,0.20380859375,-0.011008669110015034,0.1404329538345337,880,-0.9145973049104213,0.2,0.026405387,4.9678053855896,21.43555213212967,0.0003
83.63,319,-20.038500000000003,184320,90,576,0.240625,-0.011912658024812117,0.18155771493911743,890,-0.8574023872613907,0.2,0.02831449,4.016680717468262,23.102210092544556,0.0003
87.43,322,-23.420499999999997,186368,91,577,0.190087890625,-0.008489005779847503,0.37494295835494995,900,-0.8386194951832294,0.2,0.02328854,4.900346755981445,23.072623133659363,0.0003
85.26,326,-22.180999999999997,188416,92,577,0.205419921875,-0.01657911400543526,0.24374550580978394,910,-0.8464644208550454,0.2,0.038663454,4.79457426071167,24.285761046409608,0.0003
85.18,330,-22.36,190464,93,577,0.19453125,-0.014721478972933254,0.5075987577438354,920,-0.8529741354286671,0.2,0.027391292,5.957216739654541,24.336872625350953,0.0003
78.37,333,-16.6405,192512,94,577,0.203173828125,-0.013037509372225031,0.35813385248184204,930,-0.8072498559951782,0.2,0.026048986,5.163058280944824,23.557062649726866,0.0003
76.97,336,-16.2135,194560,95,577,0.24677734375,-0.022227355698123574,0.22247636318206787,940,-0.7966450072824955,0.2,0.032330338,5.947290897369385,25.113826715946196,0.0003
80.38,340,-20.143,196608,96,578,0.19111328125,-0.018451368008391,0.0076607465744018555,950,-0.7770459607243538,0.2,0.032175124,5.76214075088501,24.68358693122864,0.0003
